id,YearDT,target_name,predictions,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Year
lotka-volterra,1981-12-31T00:00:00.000000000,Lynx,19190.18,9013.072,12346.871,14829.76,17065.414,19190.18,21480.156,24100.883,27951.744,34089.23,1981
lotka-volterra,1982-12-31T00:00:00.000000000,Lynx,32345.076,18594.297,23752.684,27201.418,29970.334,32345.076,34836.777,37661.96,41578.965,47628.758,1982
lotka-volterra,1983-12-31T00:00:00.000000000,Lynx,43535.996,28363.58,34434.14,38258.61,41042.523,43535.996,46205.23,49115.156,53098.45,59517.523,1983
lotka-volterra,1984-12-31T00:00:00.000000000,Lynx,52437.676,32120.893,40530.746,45515.582,49142.055,52437.676,55498.29,58904.4,63756.848,73004.016,1984
lotka-volterra,1985-12-31T00:00:00.000000000,Lynx,48196.004,27065.87,35507.234,40965.523,44862.367,48196.004,51528.29,54997.688,60345.523,69948.48,1985
lotka-volterra,1986-12-31T00:00:00.000000000,Lynx,36149.484,16186.867,22651.695,27584.1,32151.105,36149.484,40007.703,44113.42,49966.688,59579.15,1986
lotka-volterra,1987-12-31T00:00:00.000000000,Lynx,18589.947,6911.049,9430.566,11920.523,15012.141,18589.947,23368.336,28554.26,35536.93,47212.695,1987
lotka-volterra,1988-12-31T00:00:00.000000000,Lynx,10488.119,3993.7637,5684.4766,7098.494,8662.199,10488.119,13192.799,16674.176,22387.764,33048.117,1988
lotka-volterra,1989-12-31T00:00:00.000000000,Lynx,9236.299,3824.041,5347.9473,6491.836,7856.615,9236.299,11440.441,15069.899,21204.867,32188.04,1989
lotka-volterra,1990-12-31T00:00:00.000000000,Lynx,13521.521,6168.8887,8277.734,9913.334,11642.742,13521.521,16177.416,20066.59,25972.805,36296.594,1990
lotka-volterra,1991-12-31T00:00:00.000000000,Lynx,24853.836,11903.203,16388.488,19316.707,22036.129,24853.836,27989.14,31357.887,35674.03,43263.555,1991
lotka-volterra,1992-12-31T00:00:00.000000000,Lynx,35989.836,19490.54,26383.795,30342.863,33357.28,35989.836,38847.113,41984.97,46083.094,52693.418,1992
lotka-volterra,1993-12-31T00:00:00.000000000,Lynx,43238.797,25091.537,32696.3,37154.137,40533.055,43238.797,45743.605,48606.668,52144.562,57774.633,1993
lotka-volterra,1994-12-31T00:00:00.000000000,Lynx,43396.453,25876.56,32973.645,37187.453,40505.867,43396.453,46283.11,49384.69,53179.027,59228.734,1994
lotka-volterra,1995-12-31T00:00:00.000000000,Lynx,36096.176,20376.895,26710.496,30483.012,33427.734,36096.176,38876.656,41961.97,46071.676,52848.586,1995
lotka-volterra,1996-12-31T00:00:00.000000000,Lynx,23585.719,10291.527,14352.767,17389.7,20450.906,23585.719,26726.842,29857.125,33894.15,41004.746,1996
lotka-volterra,1997-12-31T00:00:00.000000000,Lynx,11295.307,5836.9453,7580.2188,8570.385,9715.613,11295.307,13521.852,16221.997,20309.584,28601.611,1997
lotka-volterra,1998-12-31T00:00:00.000000000,Lynx,7715.2773,3977.2852,5232.0,6032.3477,6811.873,7715.2773,9237.516,11211.518,14628.987,22565.584,1998
lotka-volterra,1999-12-31T00:00:00.000000000,Lynx,8372.469,4426.0723,5832.2324,6740.377,7468.6504,8372.469,9771.053,12103.335,16439.23,24986.121,1999
lotka-volterra,2000-12-31T00:00:00.000000000,Lynx,10859.994,4029.787,5923.996,7462.2656,8989.127,10859.994,13469.627,17272.055,22940.56,31453.137,2000
lotka-volterra,2001-12-31T00:00:00.000000000,Lynx,24573.785,8483.949,13176.411,17323.105,21075.936,24573.785,28430.557,32551.379,37840.57,45844.555,2001
lotka-volterra,2002-12-31T00:00:00.000000000,Lynx,37758.812,18133.18,25497.412,30369.598,34150.715,37758.812,41605.234,45790.92,51208.496,58984.76,2002
lotka-volterra,2003-12-31T00:00:00.000000000,Lynx,46180.082,23910.928,32221.262,38107.945,42372.348,46180.082,50211.81,54287.508,59503.633,67914.62,2003
lotka-volterra,2004-12-31T00:00:00.000000000,Lynx,49322.266,24890.922,34018.52,40531.04,45243.28,49322.266,53605.6,58024.66,63639.027,72857.36,2004
lotka-volterra,2005-12-31T00:00:00.000000000,Lynx,45132.723,18629.344,27738.965,34674.49,40353.438,45132.723,49856.266,54428.586,60268.164,69245.98,2005
lotka-volterra,2006-12-31T00:00:00.000000000,Lynx,37191.51,12664.8125,20107.5,26381.904,32214.016,37191.51,42209.062,47589.863,54065.023,62867.562,2006
lotka-volterra,2007-12-31T00:00:00.000000000,Lynx,23206.535,5941.3926,10279.857,14699.49,19122.766,23206.535,28245.73,34204.387,42282.96,52433.695,2007
lotka-volterra,2008-12-31T00:00:00.000000000,Lynx,14109.639,4034.8125,6570.7656,8805.363,11307.598,14109.639,17865.434,22657.934,29124.438,38467.504,2008
lotka-volterra,2009-12-31T00:00:00.000000000,Lynx,12092.127,4360.006,6358.0684,7954.8223,9715.072,12092.127,15504.977,19849.965,25695.002,34290.277,2009
lotka-volterra,2010-12-31T00:00:00.000000000,Lynx,17860.803,7067.498,9578.684,11810.088,14586.92,17860.803,21660.234,25838.74,31212.21,39495.844,2010
lotka-volterra,2011-12-31T00:00:00.000000000,Lynx,29987.217,13581.197,19424.574,23270.846,26607.943,29987.217,33488.03,37165.266,41907.152,49633.836,2011
lotka-volterra,2012-12-31T00:00:00.000000000,Lynx,38553.32,20280.63,27168.541,31643.992,35164.125,38553.32,42113.117,45956.832,51103.23,59610.188,2012
lotka-volterra,2013-12-31T00:00:00.000000000,Lynx,41570.15,21600.35,28505.031,33676.348,37916.902,41570.15,45292.6,49280.06,54474.43,62656.6,2013
lotka-volterra,2014-12-31T00:00:00.000000000,Lynx,38054.89,18735.105,25233.193,30167.684,34375.203,38054.89,41911.375,46225.844,51987.023,60948.02,2014
lotka-volterra,2015-12-31T00:00:00.000000000,Lynx,27422.0,10371.783,15146.375,19459.68,23530.586,27422.0,31458.096,35714.75,41364.12,50557.246,2015
lotka-volterra,2016-12-31T00:00:00.000000000,Lynx,15551.71,5760.006,7962.6953,9986.627,12576.465,15551.71,19652.45,24599.605,30880.324,42040.992,2016
lotka-volterra,2017-12-31T00:00:00.000000000,Lynx,9108.939,3577.336,5188.121,6381.2266,7699.215,9108.939,11247.852,15034.901,21081.668,31718.844,2017
lotka-volterra,2018-12-31T00:00:00.000000000,Lynx,8907.094,3769.6328,5155.457,6336.3477,7576.824,8907.094,10706.342,13824.243,19134.75,28613.047,2018
lotka-volterra,2019-12-31T00:00:00.000000000,Lynx,13031.127,5435.3223,7390.381,9044.547,10927.457,13031.127,15838.433,19971.113,25988.049,35610.055,2019
lotka-volterra,2020-12-31T00:00:00.000000000,Lynx,23968.74,9366.811,13538.736,17086.836,20657.182,23968.74,27494.316,31586.58,36909.47,45213.906,2020
lotka-volterra,2021-12-31T00:00:00.000000000,Lynx,35153.883,17105.441,24263.281,28650.611,32134.234,35153.883,38337.797,41980.562,47069.363,55144.758,2021
lotka-volterra,2022-12-31T00:00:00.000000000,Lynx,42787.594,22461.28,31169.023,35980.934,39572.07,42787.594,46003.527,49517.875,54288.46,62060.004,2022
lotka-volterra,2023-12-31T00:00:00.000000000,Lynx,44439.22,22245.719,31330.785,36695.36,40963.99,44439.22,47972.492,51840.355,56885.203,65288.418,2023
lotka-volterra,2024-12-31T00:00:00.000000000,Lynx,37378.656,16370.174,23776.232,29081.326,33497.652,37378.656,41245.977,45131.32,50185.04,58298.97,2024
lotka-volterra,2025-12-31T00:00:00.000000000,Lynx,24715.21,9024.934,13324.154,17335.648,21103.75,24715.21,28366.889,32479.059,39016.3,49623.906,2025
